"Stratum","Cells","RasterValue","Code","Acres"
"Aspen",58150,1,"AS",12932.2487064045
"Grassland",80341,2,"GR",17867.4083116293
"Mixed Conifer",68969,3,"MC",15338.3363892005
"Mixed Mountain Shrub",278163,4,"MMS",61861.9621138364
"Other",75026,5,"OT",16685.3807643457
"Pinion Juniper Woodland",1595588,6,"PJ",354850.229560696
"Ponderosa Pine",66170,7,"PP",14715.8537730487
"Riparian",210299,8,"RI",46769.3718092546
"Sagebrush",952504,9,"SS",211831.790573432
"Salt Desert",533572,10,"SD",118663.556436348
